month,post_id,post_date,platform,post_url,tag_name,tag_category,report_dimension,reporting_priority,reach,impressions,clicks,engagement_rate,engagements_total
2026-05,7465123406460436480,2026-05-26 19:35:16,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7465123406460436480,Single Photo,Asset Type,content_format,low,1904,3086,248.0,,90.0
2026-05,7465123406460436480,2026-05-26 19:35:16,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7465123406460436480,Sabin R&D,Team,team,medium,1904,3086,248.0,,90.0
2026-05,7465123406460436480,2026-05-26 19:35:16,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7465123406460436480,Outbreak Response,Theme,theme,medium,1904,3086,248.0,,90.0
2026-05,7465386790233911297,2026-05-27 13:01:51,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7465386790233911297,,,,,285,440,7.0,,6.0
2026-05,7465386790233911297,2026-05-27 13:01:51,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7465386790233911297,Webinar,Promo Content,content_type,medium,285,440,7.0,,6.0
2026-05,7465386790233911297,2026-05-27 13:01:51,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7465386790233911297,GCE/Boost,Team,team,medium,285,440,7.0,,6.0
2026-05,urn:li:ugcPost:7465738657828589568,2026-05-28 12:20:03,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7465738657828589568,Video Short,Asset Type,content_format,low,268,375,14.0,,9.0
2026-05,urn:li:ugcPost:7465738657828589568,2026-05-28 12:20:03,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7465738657828589568,Sabin Global Immunization,Team,team,medium,268,375,14.0,,9.0
2026-05,urn:li:ugcPost:7465738657828589568,2026-05-28 12:20:03,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7465738657828589568,Holiday,Topic,org_topic,low,268,375,14.0,,9.0
2026-05,7466174093227380736,2026-05-29 17:10:18,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7466174093227380736,,,,,446,674,23.0,,12.0
2026-05,7466174093227380736,2026-05-29 17:10:18,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7466174093227380736,HPV,Disease Area,program,high,446,674,23.0,,12.0
2026-05,7466174093227380736,2026-05-29 17:10:18,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7466174093227380736,Global HPV Consortium,Partner,partner,low,446,674,23.0,,12.0
2026-05,7466174093227380736,2026-05-29 17:10:18,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7466174093227380736,Sabin Global Immunization,Team,team,medium,446,674,23.0,,12.0
